Число заявок,Дата договора,Тарифный план,Физ/Юр,Тип кл,Дата снятия
0,43625,ДИнт в пак 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,43487,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,43603,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,42686,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43498,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43840
0,43535,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,43549,EIPTV ТВ Легкий+КМ (ХМФ)К,Физическое лицо,Единый договор,43840
0,41632,БИ 21гр 15 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43364,EIPTVТВ Старт+КМ (ХМФ)К,Физическое лицо,Единый договор,43840
0,43619,WG new 1гр 500 Кр ХФ,Физическое лицо,Единый договор,43840
0,41198,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43562,ДИнтА пак 1гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42237,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43254,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,43633,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43840
0,43646,EIPTV ТВ Суточный (ХМФ),Физическое лицо,ШПД Коммерческий,43840
0,41610,EIPTVБольшой Пакет(ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43582,ДИнтА пак 1гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42969,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,42919,ЛЦ-3 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43646,EIPTV ТВ Суточный (ХМФ),Физическое лицо,ШПД Коммерческий,43840
0,42017,10Мб/с+100 в пак Сур Кр ХФ,Физическое лицо,Единый договор,43840
0,43581,ДИнт+УД 1гр 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,43629,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,43503,EIPTV ТВ Суточный (ХМФ),Физическое лицо,Единый договор,43840
0,43222,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43840
0,41627,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43839
0,42882,EIPTV Лояльный Стартовый(ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43360,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,ШПД Коммерческий,43840
0,43546,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,43617,EIPTV ТВ Суточный (ХМФ),Физическое лицо,Единый договор,43840
0,42237,БИ 21гр 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,41099,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43150,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43178,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,ШПД Коммерческий,43840
0,43060,УД ГК 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42192,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43335,ДИнт new 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,43751,ПП ДРВ+MVNO 120 1.1. гр. Кр ХФ,Физическое лицо,Единый договор,43840
0,41669,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43407,УД Домовой 2016 120 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43611,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,41106,УД Суточный 30 Мб/с ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43635,EIPTV ТВ Суточный (ХМФ),Физическое лицо,Единый договор,43840
0,43508,ДН-1 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,40889,УД ДИнт 1гр 100 Кр ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43060,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43642,ДИнт+MVNO 1гр 150 Кр ХФ,Физическое лицо,Единый договор,43840
0,43629,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,42471,БИнт 21гр 120 К ХФ,Физическое лицо,Единый договор,43840
0,43482,EIPTV Для выгоды Кр (ХМФ),Физическое лицо,Единый договор,43840
0,42689,УД FAST 11гр 12 Мб в пак Кр ХФ,Физическое лицо,Единый договор,43840
0,43602,EIPTV Для впечатл Акция (ХМФ)К,Физическое лицо,Единый договор,43840
0,43477,ДИнт пак+MVNO 1гр 200 К ХФ,Физическое лицо,Единый договор,43840
0,43524,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,43428,ДВ-1 200 Кр ХФ,Физическое лицо,Единый договор,43840
0,42808,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,43060,EIPTVТВЛегкий+Год кино* (ХМФ)К,Физическое лицо,Единый договор,43840
0,41148,WG 200 Мб/с Кр ХФ3,Физическое лицо,ШПД Коммерческий,43840
0,42159,БИ 21гр 15 Кр ХФ,Физическое лицо,Единый договор,43840
0,43593,СР 1гр в пак 500 Мб/с Кр ХФ,Физическое лицо,Единый договор,43840
0,43631,ДИнтА 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,43477,EIPTV Для впечатлений (ХМФ),Физическое лицо,Единый договор,43840
0,43355,УД Домовой 2018 120 Кр ХФ1,Физическое лицо,Единый договор,43840
0,43389,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43625,EIPTV Для впечатлений (ХМФ)К,Физическое лицо,Единый договор,43840
0,43281,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43840
0,43621,ДИнтА 1гр 100 Кр ХФ,Физическое лицо,Единый договор,43840
0,42260,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,ШПД Коммерческий,43840
0,42797,БИ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,43616,EIPTV ТВ Суточный (ХМФ),Физическое лицо,ШПД Коммерческий,43841
0,41407,ДИнт new 1гр 50 Ав ХФ,Физическое лицо,ШПД Коммерческий,43840
0,43277,КМ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,41425,EIPTVОсн.пак. кан.Архив (ХМФ)К,Физическое лицо,Единый договор,43841
0,39598,FAST 11гр 30 Мб в пак Кр ХФ,Физическое лицо,Единый договор,43841
0,43549,КМ 21гр 120 Кр ХФ,Физическое лицо,Единый договор,43840
0,42136,УД МИ в пакете 100Мб/с Кр ХФ1,Физическое лицо,Единый договор,43840
